name, code, message
unknownInternal, -1, unknown internal error
loginExpired, 100, login expired
accountDontExist, 101, account does not exist
missingBody, 200, missing body
missingFunc, 201, missing func
invalidFunc, 202, invalid func
missingData, 203, missing data
missingAuthMethod, 204, missing auth method
invalidAuthMethod, 205, invalid auth method
missingAuthData, 206, missing auth data
invalidAuthData, 207, invalid auth data
missingSessionToken, 208, missing sessiontoken
missingProfileId, 209, missing profile id
invalidProfileId, 210, invalid profile id
missingResourceId, 211, missing resource id
invalidResourceId, 212, invalid resource id